,tfidf
apt,9.479992808901264
ara,9.696800541766388
arabic,9.497087242260564
arabica,7.940759155140412
archer,9.831836825570331
arctic,9.338022547630876
area,5.578705188163138
arent,8.908343181402117
argentina,9.843958186102675
arguably,9.881229580899907
argue,8.42763153788391
argument,9.309035010757624
arise,9.505745305003678
arizona,8.249262555405778
arm,7.877357643789916
army,9.194431628018622
arnold,9.946612340162758
aroma,5.194887821239345
aromatic,6.9583402571930515
around,4.275986121824468
arranged,9.906872011513245
arrangement,9.138689645010386
array,9.181773231146698
arrival,7.648089541177592
arrive,6.122092232992433
arrived,4.556307260411918
arriving,8.66718112458523
arrowhead,8.957372608642437
arsenal,9.906872011513245
arsenic,9.338022547630876
art,8.054233305572408
arterie,9.541147232054595
arthriti,7.638636398533837
arthritic,9.696800541766388
arthur,9.144731959466348
artichoke,8.795356318009228
article,7.551177093205251
artifical,8.219992173105666
artificial,5.178335559548037
artificially,8.093698447781374
artisan,8.701601348471709
artisana,10.173139989461209
artist,9.906872011513245
asap,8.73322453690222
ascorbic,8.55694529456423
aseptic,9.808026176876613
ash,9.0916221341524
ashamed,8.648558612487228
ashtray,10.016570928769669
asia,8.591195217607307
asian,6.617791927971796
aside,6.82591567154372
asin,8.922801264577348
ask,5.81382699463323
asked,6.056171923601288
asking,7.097625798429449
asleep,7.858760319974327
asparagu,9.030321608288604
aspartame,7.195364590027177
aspect,7.281827055024981
aspen,9.906872011513245
aspertame,9.541147232054595
aspirin,9.728888856317889
assam,8.14811883875336
assemble,9.831836825570331
assertive,9.906872011513245
assessment,9.471553940255399
assignment,9.881229580899907
assist,9.003653361206442
assistance,9.76204106363479
associate,8.353523565730189
associated,7.770632871440276
association,9.301917542988761
assorted,7.789209257013211
assortment,7.002884851599083
assume,7.005022365772393
assumed,7.439433054765636
assuming,7.612109644200409
assumption,9.163081098134544
assurance,9.707382651096925
assure,8.269263222112448
assured,7.7419082963952475
asthma,8.857049887014568
astounded,9.85622827869449
astounding,9.707382651096925
astringent,8.765880499876275
astronaut,9.906872011513245
ate,5.232103077012701
athlete,8.682332929605831
athletic,9.85622827869449
atkin,8.39274427888347
atlanta,9.24673112742147
atlantic,9.665709954696357
atleast,9.085891459443415
atomic,9.707382651096925
atop,9.360328305145176
attach,9.514478984972433
attached,7.835580474195334
attachment,9.367875510780559
attack,7.716888595433585
attacked,9.868650798693047
attempt,6.926846867164612
attempted,8.504474242826776
attempting,8.619465651545564
attention,6.559020610556383
attest,8.514105135887737
attitude,8.825727415885527
attract,8.898819299890864
attracted,8.498104794541295
attractive,7.202291024645047
attribute,8.076891329464992
attributed,9.338022547630876
audience,9.207252316447683
aug,9.41439552641545
augment,9.406490346908338
august,7.910318129639177
aunt,8.0026345588585
aussie,8.454619682601557
austin,9.541147232054595
australia,8.326421635952396
australian,8.387046257768832
authentic,6.734788348151803
authenticity,9.893968606677337
author,8.90356990264946
authority,9.974011314350873
autism,9.226796912520653
autistic,10.00218219131757
auto,6.6432960077271375
autolyzed,9.974011314350873
automatic,7.0569916149718175
automatically,7.84214864230743
autoship,8.898819299890864
autumn,8.947372525307852
avail,8.281969873381563
availability,8.03807133761541
available,4.599569161580195
avenue,10.123543048321837
average,6.1138665696913925
aversion,9.750867763036664
avid,7.518466726899723
avocado,8.359033221541157
avoderm,8.884701418345077
avoid,5.746164295108066
avoided,8.095819339350511
avoiding,8.083160942478589
await,9.707382651096925
awaited,9.893968606677337
awaiting,9.260244846588193
awake,7.516085773393981
award,8.81695542981269
aware,6.41866325286146
away,4.387959793374012
aweful,9.76204106363479
awesome,5.111510880845271
awesomenes,9.893968606677337
awful,5.797276375038471
awfully,9.024930759653728
awhile,6.456266227640327
awkward,8.942409735965725
awsome,9.085891459443415
axe,10.045984813975963
ayurvedic,9.56854620624271
babe,9.881229580899907
babie,6.650275098866529
baby,5.14781091969598
babycook,9.273943690946355
babyfood,9.808026176876613
bacillu,10.280385519814807
back,3.9501938678140163
backed,8.987987244462044
background,8.018229416816407
backing,9.946612340162758
backpack,8.022166429775746
backpacking,8.615887830197678
backup,8.932557439522713
backward,9.655557583232339
backyard,8.473025110144272
bacon,6.6207017263391394
baconnaise,10.207626165532378
bacteria,8.040077356342277
bacterial,9.615948445137294
bad,4.001120982679293
badly,7.54259334951386
baffled,9.750867763036664
bag,3.3215784850471812
bagel,7.991095969302006
bagged,7.54137309310863
baggie,8.02611900409157
baguette,9.906872011513245
bahlsen,8.993182061339148
bai,10.016570928769669
bailey,9.207252316447683
bait,8.75761599002638
baja,9.79633013711342
bake,6.255033829079657
baked,5.65930484377644
baker,7.868861415960831
bakerie,9.831836825570331
bakery,7.477597057711393
baking,5.626245491281093
baklava,10.123543048321837
balance,5.842852779006057
balanced,6.434663594207901
balancing,9.226796912520653
bald,9.987997556325613
baldwin,9.10901387686427
bali,10.422036036877834
ball,6.017174293132935
ballpark,9.773340618888723
balm,8.774213881435418
balsamic,7.858760319974327
bam,8.701601348471709
bamboo,8.442534943386486
ban,9.831836825570331
banana,5.827135798032147
band,8.41294698620099
bandwagon,9.79633013711342
bang,7.968410686470922
banged,9.665709954696357
bank,7.724182573796139
banned,8.659690452856072
bar,4.355625359651903
barbara,8.381380520233154
barbecue,7.644027247168713
barbeque,8.016266707648558
bare,8.488626050586753
barely,6.29210052955303
barf,9.615948445137294
bargain,6.644787432313808
bariani,10.173139989461209
barilla,9.330696507538804
barista,8.418794956083413
bark,7.894569772671038
barking,9.383142982911346
barley,7.2678146818979865
barn,9.438493077994512
barney,9.523289614654589
baronet,9.383142982911346
barrel,8.504474242826776
barrier,9.808026176876613
barry,8.454619682601557
base,6.231722750211211
baseball,9.323423748209724
based,5.285981878051469
basement,8.87078007982647
basi,6.284437656807461
basic,6.711650377542934
basically,5.980920485833946
basil,7.6562639736171505
basket,6.736422780550519
basketball,10.031169728190822
basmati,8.612322764033184
basset,9.488503498569173
bassett,9.868650798693047
basted,9.906872011513245
bat,8.778406759695454
batch,5.685837588483339
batche,7.1936404516690375
bath,7.415492847219627
bathroom,7.529251732576285
batman,9.906872011513245
batter,7.5232457085160735
battery,9.56854620624271
battle,8.682332929605831
bavarian,9.79633013711342
bay,7.155613056079798
bbq,6.2202678712364445
bday,9.906872011513245
beaba,8.821331804412488
beach,7.696744029341118
bead,9.577848598905023
beagle,7.667268211208165
beak,8.633906335700358
bean,4.766804624543408
bear,6.510882974958228
bearable,8.884701418345077
bearing,9.398647169447312
beast,9.338022547630876
beat,5.483815611697127
beaten,9.046670746290134
beating,9.240042139270674
beautiful,6.168893226431928
beautifully,7.3182295417944205
beauty,7.81132706226683
became,6.140250195791904
becasue,9.76204106363479
become,5.3325627738924
becoming,7.252167791116328
becuase,8.808259722845136
bed,6.132470383961147
bedroom,9.132683620950173
bedtime,7.633274455392452
bee,8.040077356342277
beef,5.239031932302646
beefeater,9.479992808901264
beefy,9.175503618133103
beer,6.589150352008412
beet,7.953568113432993
beetle,10.00218219131757
beetlejuice,8.69384937166739
beforehand,9.233397596552004
beg,7.290329704265622
began,6.361967909184915
begged,8.932557439522713
beggin,9.831836825570331
begging,7.99877355020104
begin,6.627035486855357
beginner,9.240042139270674
beginning,6.969980237982187
begun,8.514105135887737
behave,9.577848598905023
behaved,9.750867763036664
behavior,7.716888595433585
behind,6.7299010183041315
behold,8.266741152679739
beige,9.843958186102675
beleive,9.645507247378838
belgian,8.157107663321792
belgium,8.605230535723692
belief,8.942409735965725
believe,4.995363695748015
believed,8.398474953592455
believer,8.356274599102079
believing,8.808259722845136
bell,7.330993583519518
bella,8.460717262469675
bellagio,10.045984813975963
bellie,8.682332929605831
belly,7.278071182065176
belong,8.641205638181969
beloved,7.80813726689873
belt,9.330696507538804
ben,9.430395867761892
bend,8.69384937166739
beneath,9.532178562071834
benecol,9.541147232054595
beneficial,7.614730877680283
benefit,5.276692506677186
beneful,8.070660779714355
bengal,9.0745277007931
benifit,9.675966454863547
bent,8.791091919222769
bentley,9.532178562071834
benzoate,9.559329551137786
bergamont,9.635556916525669
bergamot,7.288433969100722
berger,9.352837633416017
bergin,9.881229580899907
bernard,9.919944093080598
berrie,6.66590435575473
berry,6.254360201570184
beside,6.472465958854436
best,3.127747352101174
bet,7.1270046481623215
beta,9.330696507538804
better,3.2215138092800415
betty,7.880776450538702
beverage,5.873666272550554
beware,6.4525648045371415
beyond,6.44398106084575
bff,8.619465651545564
bha,9.505745305003678
bht,9.301917542988761
bhut,10.123543048321837
bialetti,8.861605703550428
biased,8.908343181402117
bib,9.946612340162758
bicarbonate,8.866182370577839
bichon,8.236962277324128
bicycle,9.868650798693047
big,4.162662425487683
bigelow,7.372350965075604
bigger,6.080491780487288
biggest,6.881707031172136
biggie,9.446656388633672
bike,8.136995253534698
biking,9.446656388633672
bil,9.73981792685008
bile,9.728888856317889
bill,6.2274527486502596
billed,9.463185690584883
billion,9.645507247378838
bin,8.008454167911765
bind,9.316203500236238
binder,9.728888856317889
bing,9.808026176876613
binge,9.550197067574512
bingo,9.587238339254862
bio,9.09738583886915
biobag,10.22532574263178
biochemical,9.194431628018622
biodegradable,8.476125887822521
bionaturae,9.808026176876613
biotin,9.09738583886915
birch,9.352837633416017
bird,7.499575964430169
birth,8.473025110144272
birthday,6.38856522170418
biryani,10.379476422459039
biscoff,9.808026176876613
biscotti,7.962818873205145
biscuit,6.299118102211677
bison,9.052180402101103
bisphenol,9.893968606677337
bisque,9.559329551137786
bisquick,8.678523401189164
bisquit,9.868650798693047
bistro,9.596717083209406
bisulfite,9.24673112742147
bit,3.642657755404292
bite,5.042238868680343
biting,7.862116027821299
bitten,9.505745305003678
bitter,4.629420174604336
bitternes,6.072038644776229
bittersweet,8.591195217607307
bitty,9.645507247378838
bizarre,8.972562774136412
black,4.7136987338285525
blackberrie,9.375480110165777
blackberry,7.74938776282654
blackcurrant,9.454886887770188
blackened,10.107542706975396
bladder,8.601703195205722
blade,8.721248345855507
blah,8.115112542285189
blair,9.375480110165777
blame,7.855415835251479
blamed,9.73981792685008
blanc,10.045984813975963
bland,5.705480045541094
blander,9.819860634523616
blandnes,9.718077940213673
blank,9.808026176876613
blanket,9.188082400339962
blast,8.271791668465807
blazin,9.114878996316667
bleach,9.893968606677337
bleached,8.894091158694916
blech,8.799638979801228
bleed,9.906872011513245
bleeding,8.808259722845136
bleh,9.446656388633672
blend,4.536596477347986
blended,7.042817561934454
blender,6.985247710112976
blending,8.119450943883788
bles,8.84350566190681
blessed,9.12671345396367
blessing,8.359033221541157
bleu,9.132683620950173
blew,8.55694529456423
blind,8.193893420138306
blis,8.436546901541863
blister,10.076290163471292
blk,10.22532574263178
bloat,9.287832803107023
bloated,8.52382968577973
bloating,8.454619682601557
blob,9.008930418307287
block,7.682599521954953
blockage,9.24673112742147
blocked,10.016570928769669
blocking,10.00218219131757
blog,8.65596605376509
blonde,9.10901387686427
blood,5.962645865590464
bloody,8.227229840405897
bloom,8.436546901541863
bloomed,9.819860634523616
blooming,9.330696507538804
blossom,8.145884200951944
blow,7.386874041913975
blowing,8.962410402672393
blown,7.8339451508546025
blu,9.532178562071834
blue,5.465902841205914
blueberrie,6.769121731457413
blueberry,6.283397254424729
blurb,9.773340618888723
board,7.4617056903747585
boast,8.765880499876275
boat,8.852514731849176
bob,6.69739082776651
boba,10.061022691340504
bodie,8.121627223306383
bodied,6.285826545919615
bodum,9.383142982911346
body,5.397869515743608
boil,6.765185825336174
boiled,7.409061956889337
boiler,9.906872011513245
boiling,6.5807154378933514
bold,5.047865327811538
bolder,7.5965249131837105
boldest,9.843958186102675
boldnes,8.686157026044235
bomb,8.012352808327421
bon,8.774213881435418
bond,9.881229580899907
bone,5.635631841783187
boneles,8.44554246445044
bonito,9.003653361206442
bonker,9.09738583886915
bonsai,7.9572581545204475
bonu,6.3831888646678
boo,9.294850375765668
booda,8.53694462785756
book,6.4250327011469395
booklet,9.750867763036664
boon,9.438493077994512
boost,6.2057303837492075
booster,8.795356318009228
boosting,9.2137248309533
boot,7.540154323914501
booty,9.194431628018622
border,7.642676808070842
borderline,9.024930759653728
bore,9.831836825570331
bored,7.423048198864077
boredom,9.831836825570331
boring,7.1424332936353885
born,7.614730877680283
bos,8.66718112458523
bosch,10.22532574263178
boston,7.863798114004284
botanical,10.061022691340504
bother,6.3533809607710445
bothered,7.99877355020104
bothering,9.514478984972433
bothersome,9.454886887770188
bottle,4.451495397640114
bottled,6.742987355547025
bottling,9.280864133790928
bottom,5.352995119912705
bought,3.5190966836987716
bouillon,8.507674245557446
boulder,9.675966454863547
boullion,9.868650798693047
bounce,9.09738583886915
bounced,8.697717848445311
bouncing,9.207252316447683
bouncy,9.2137248309533
bound,8.421731815756722
bounty,10.016570928769669
bouquet,8.612322764033184
bourbon,8.977677874803181
bout,8.510884521187695
boutique,8.799638979801228
bow,9.175503618133103
bowel,7.236761958556401
bowl,5.171927481778344
box,3.735144301707897
boxe,4.77858837096547
boxed,7.489104664562873
boxer,7.870554896467164
boy,6.027586882205395
boyardee,9.541147232054595
boyfriend,7.1102243902657705
boylan,10.173139989461209
boysenberry,10.44401494359661
bpa,7.313363352143248
brace,9.541147232054595
brach,9.559329551137786
brag,9.488503498569173
bragg,9.156927232560166
braided,10.091794350007257
brain,7.625285065358973
brainer,8.110792881140673
brake,10.076290163471292
bran,7.1962277752339885
branch,9.10901387686427
branche,9.430395867761892
brand,3.541160543214183
branded,8.993182061339148
brandy,8.937471454325141
brat,9.398647169447312
brave,9.063291627526175
bravo,8.852514731849176
brazil,8.106491799241283
brazilian,8.701601348471709
bread,5.23343649135658
breadcrumb,9.471553940255399
breaded,9.881229580899907
breading,9.024930759653728
breadmaker,9.550197067574512
breadstick,9.367875510780559
break,5.438578324409591
breakage,8.112950379280694
breakdown,8.81695542981269
breaker,8.821331804412488
breakfast,4.8232920685384055
breaking,7.160600597590837
breakout,9.577848598905023
breast,6.726656018160805
breastfed,9.287832803107023
breastfeed,9.422363696064627
breastfeeding,8.364573401916774
breastmilk,8.701601348471709
breath,6.275800532808053
breathe,8.442534943386486
breathing,8.957372608642437
breed,6.81111812423361
breeder,7.99300984548429
breeze,8.193893420138306
breville,9.323423748209724
brew,5.01867342175472
brewed,5.68469407778126
brewer,5.973773952099872
brewing,5.819042130312338
brezza,9.532178562071834
brian,8.852514731849176
brick,7.55735376509698
bridal,9.625704620082658
bridge,9.267070811658593
bridgford,10.061022691340504
brie,9.728888856317889
brief,8.476125887822521
briefcase,9.463185690584883
briefly,9.2137248309533
bright,6.799435748379253
brighten,9.550197067574512
brighter,9.019568816512342
brightly,9.784769314712346
brilliant,8.281969873381563
brine,8.894091158694916
bring,5.453128944885371
bringing,7.716888595433585
brisk,9.655557583232339
brisket,9.718077940213673
brisling,10.139803569193617
brit,9.406490346908338
brita,9.831836825570331
britain,9.686329241899093
british,7.737447322454622
brittle,7.747887387451305
bro,9.541147232054595
broad,9.696800541766388
broccoli,7.25950054624572
broil,9.73981792685008
broiled,9.843958186102675
broke,6.841540989446801
broken,5.743736618415043
brooklyn,8.598188253098279
broth,6.547669750887693
brother,6.861113479689294
brought,5.98708700074961
brown,5.1998018360417735
browned,8.560317979042868
brownie,6.651276099951113
browning,9.73981792685008
brownish,9.156927232560166
browsing,9.163081098134544
brulee,8.4699339175746
brunch,9.655557583232339
brush,7.292229040069274
brushed,8.825727415885527
brushing,8.056272042262258
brussel,9.063291627526175
btw,7.293180062489978
bubble,6.857414338603091
bubblegum,9.696800541766388
bubbly,9.080193438328777
buck,6.178522125178679
bucket,8.17993970536444
buckwheat,8.161632557920083
bud,6.151123150990565
buddie,9.163081098134544
buddy,7.731530145426533
budget,7.420883695854504
bueno,10.00218219131757
buffalo,6.565893489844145
buffet,8.774213881435418
buffoon,8.947372525307852
bug,7.505441083882567
bugger,9.933189319830618
bugle,10.299433714785502
build,7.34693017578233
builder,9.718077940213673
building,8.25671600606036
buildup,9.019568816512342
built,8.102209137449282
bulb,8.84800005149465
bulk,5.324159923516807
bulky,9.080193438328777
bull,7.168968847261354
bulldog,8.091582044874997
bullet,8.415866696304324
bullion,9.625704620082658
bully,7.766042197731677
bumble,9.446656388633672
bummed,8.378559643891514
bummer,8.269263222112448
bump,8.451584778906403
bumped,9.79633013711342
bun,8.241864247924333
bunch,6.095889860598409
bunche,9.120778718443855
bundle,8.71728794463941
bundt,10.173139989461209
bunn,9.019568816512342
bunnie,9.063291627526175
bunny,8.721248345855507
burger,7.340924151722119
buried,9.220239511974494
burke,8.857049887014568
burlap,10.207626165532378
burn,6.624107227076268
burned,7.360068313219762
burner,9.057720582476719
burning,7.516085773393981
burnt,6.444795393138308
burp,9.352837633416017
burr,8.9984040053203
burrito,8.323751407396518
burst,7.44163812732395
bursting,8.75761599002638
burton,8.852514731849176
bury,9.406490346908338
bush,9.15081100554273
bushe,9.843958186102675
busines,6.37479827387062
businesse,9.906872011513245
bust,9.175503618133103
busted,9.019568816512342
bustelo,9.323423748209724
buster,8.957372608642437
busy,6.417473484725871
butcher,9.233397596552004
butt,8.310506180646499
butter,4.55353777222761
buttercream,9.523289614654589
buttered,8.587716953230984
butterfinger,9.330696507538804
buttermilk,8.34531558531236
butternut,8.894091158694916
butterscotch,8.659690452856072
buttery,6.827706182317509
button,7.77216779115836
buy,3.1163220130422205
buyer,6.75291573274436
buying,4.040882344255856
buzz,7.912083355163746
bye,9.046670746290134
bypas,9.030321608288604
byproduct,7.974033944025285
cabbage,8.91313935366561
cabernet,9.919944093080598
cabin,9.843958186102675
cabinet,7.104692965652541
cacao,7.696744029341118
cactu,9.559329551137786
cadbury,8.830142434094643
cadet,10.091794350007257
caesar,9.019568816512342
caf,8.507674245557446
cafe,6.742987355547025
cafeteria,9.080193438328777
caff,8.761739707210243
caffe,8.249262555405778
caffein,9.85622827869449
caffeinated,7.496073333878966
caffeine,5.375530116513579
caffiene,8.485486330582084
caffinated,9.946612340162758
caffine,8.507674245557446
cafix,10.045984813975963
cage,9.220239511974494
cairn,9.831836825570331
cajun,8.498104794541295
cake,5.444103612863329
cakester,10.173139989461209
cakey,9.946612340162758
caking,9.946612340162758
cal,6.7971155617235555
calamari,10.379476422459039
